Province,Canton,Crimes at Noon,Crimes at Morning,Crimes at Afternoon,Crimes at Night,Total Crimes,Province Percentage,Country Percentage,Crime Rate
ALAJUELA,ALAJUELA,1593,1275,1600,1972,6440,42.254445246374914,6.648496861579122,Very High
ALAJUELA,ATENAS,116,60,100,104,380,2.4932747195065943,0.3923026098447307,Low
ALAJUELA,GRECIA,162,144,184,240,730,4.789711961157404,0.753633961017509,Modarate
ALAJUELA,GUATUSO,118,64,44,45,271,1.778098549963913,0.2797737033366369,Low
ALAJUELA,LOS CHILES,135,131,159,187,612,4.015484548257988,0.6318136769078295,Modarate
ALAJUELA,NARANJO,97,68,57,81,303,1.9880585263434158,0.3128097125867195,Low
ALAJUELA,OROTINA,197,141,219,192,749,4.914375697132734,0.7732490915097456,Modarate
ALAJUELA,PALMARES,61,45,58,87,251,1.6468735647267239,0.2591261975553353,Low
ALAJUELA,POAS,80,49,80,64,273,1.791221048487632,0.28183845391476714,Low
ALAJUELA,RIO CUARTO,37,26,28,28,119,0.7807886621612755,0.12285265939874462,Very Low
ALAJUELA,SAN CARLOS,719,571,789,752,2831,18.574896660324125,2.9226544433432444,Very High
ALAJUELA,SAN MATEO,29,25,35,27,116,0.7611049143756972,0.11975553353154939,Very Low
ALAJUELA,SAN RAMON,324,241,288,277,1130,7.414211665901188,1.1665840766435416,High
ALAJUELA,SARCH&#205;,42,28,23,56,149,0.9776261400170593,0.15382391807069706,Very Low
ALAJUELA,UPALA,228,198,206,177,809,5.308050652844302,0.8351916088536505,High
ALAJUELA,ZARCERO,28,7,22,21,78,0.5117774424250378,0.08052527254707631,Very Low
CARTAGO,ALVARADO,55,23,32,21,131,1.7654986522911051,0.1352411628675256,Very Low
CARTAGO,CARTAGO,796,616,839,965,3216,43.34231805929919,3.3201189296333005,Very High
CARTAGO,EL GUARCO,148,85,106,128,467,6.293800539083557,0.48211925999339283,Low
CARTAGO,JIMENEZ,70,31,49,44,194,2.61455525606469,0.20028080607862572,Low
CARTAGO,LA UNION,321,225,340,393,1279,17.237196765498652,1.3204079947142386,High
CARTAGO,OREAMUNO,163,107,112,171,553,7.452830188679245,0.5709035348529898,Modarate
CARTAGO,PARAISO,171,93,148,147,559,7.533692722371968,0.5770977865873802,Modarate
CARTAGO,TURRIALBA,352,249,206,214,1021,13.760107816711589,1.0540551701354477,High
GUANACASTE,ABANGARES,69,39,60,92,260,3.0617051342439945,0.26841757515692105,Low
GUANACASTE,BAGACES,109,58,63,91,321,3.780028261893547,0.331392467789891,Low
GUANACASTE,CANAS,154,129,174,186,643,7.571832312764955,0.663817310868847,Modarate
GUANACASTE,CARRILLO,256,132,173,215,776,9.138012246820537,0.8011232243145029,Modarate
GUANACASTE,HOJANCHA,14,29,26,22,91,1.071596796985398,0.09394615130492237,Very Low
GUANACASTE,LA CRUZ,99,79,53,47,278,3.273669335845502,0.28700033036009254,Low
GUANACASTE,LIBERIA,758,467,580,683,2488,29.298162976919457,2.5685497191939213,Very High
GUANACASTE,NANDAYURE,17,20,16,21,74,0.8714083843617523,0.07639577139081599,Very Low
GUANACASTE,NICOYA,297,301,310,301,1209,14.236928874234575,1.2481417244796829,High
GUANACASTE,SANTA CRUZ,753,352,492,566,2163,25.47103155911446,2.23302775024777,Very High
GUANACASTE,TILARAN,37,37,50,65,189,2.2256241168158266,0.1951189296333003,Low
HEREDIA,BARVA,203,104,149,200,656,8.001951695535496,0.677238189626693,Modarate
HEREDIA,BELEN,125,88,129,313,655,7.989753598438644,0.676205814337628,Modarate
HEREDIA,FLORES,101,34,77,107,319,3.8911929738960724,0.3293277172117608,Low
HEREDIA,HEREDIA,895,563,931,1068,3457,42.168821663820445,3.568921374297985,Very High
HEREDIA,SAN ISIDRO,57,43,62,56,218,2.65918516711393,0.22505781301618766,Low
HEREDIA,SAN PABLO,107,64,65,109,345,4.208343498414247,0.3561694747274529,Low
HEREDIA,SAN RAFAEL,144,104,154,199,601,7.331056355208587,0.6204575487281137,Modarate
HEREDIA,SANTA BARBARA,168,87,106,178,539,6.574774335203708,0.5564502808060786,Modarate
HEREDIA,SANTO DOMINGO,162,120,150,180,612,7.4652354232739695,0.6318136769078295,Modarate
HEREDIA,SARAPIQUI,206,151,215,224,796,9.709685289094901,0.8217707300958045,High
LIMON,GUACIMO,157,77,88,172,494,5.719578557369457,0.50999339279815,Low
LIMON,LIMON,621,419,548,688,2276,26.351742503183978,2.349686157912124,Very High
LIMON,MATINA,302,197,234,331,1064,12.319092277411139,1.0984473075652461,High
LIMON,POCOCI,752,399,420,649,2220,25.703369225425494,2.2918731417244795,Very High
LIMON,SIQUIRRES,300,286,311,337,1234,14.287368299177954,1.2739511067063098,High
LIMON,TALAMANCA,319,295,459,276,1349,15.618849137431978,1.3926742649487942,High
PUNTARENAS,BUENOS AIRES,178,149,195,148,670,5.468048641149107,0.6916914436736042,Modarate
PUNTARENAS,CORREDORES,275,175,206,211,867,7.0758181669795155,0.8950693756194252,High
PUNTARENAS,COTO BRUS,255,94,90,85,524,4.276503713376316,0.5409646514701024,Modarate
PUNTARENAS,ESPARZA,184,119,125,183,611,4.986533910062842,0.6307813016187644,Modarate
PUNTARENAS,GARABITO,306,403,735,373,1817,14.829021464131234,1.875825900231252,High
PUNTARENAS,GOLFITO,265,108,142,153,668,5.451726107891945,0.689626693095474,Modarate
PUNTARENAS,MONTES DE ORO,29,24,46,46,145,1.1833836611442095,0.14969441691443675,Very Low
PUNTARENAS,MONTEVERDE,23,41,53,58,175,1.4282216600016322,0.18066567558638916,Low
PUNTARENAS,OSA,946,125,167,150,1388,11.327838080470089,1.4329369012223323,High
PUNTARENAS,PARRITA,140,136,154,141,571,4.660083244919611,0.5894862900561613,Modarate
PUNTARENAS,PUERTO JIM&#201;NEZ,187,66,63,65,381,3.1094425854892678,0.39333498513379583,Low
PUNTARENAS,PUNTARENAS,715,657,860,897,3129,25.536603280829183,3.2303022794846386,Very High
PUNTARENAS,QUEPOS,281,286,393,347,1307,10.666775483555048,1.3493145028080606,High
SAN JOSE,ACOSTA,43,37,28,26,134,0.3658902875242334,0.13833828873472084,Very Low
SAN JOSE,ALAJUELITA,332,181,230,321,1064,2.905278103923764,1.0984473075652461,High
SAN JOSE,ASERRI,176,94,121,189,580,1.5837042295825028,0.598777667657747,Modarate
SAN JOSE,CURRIDABAT,224,163,312,503,1202,3.282090489583049,1.2409150974562273,High
SAN JOSE,DESAMPARADOS,643,438,590,774,2445,6.676132485050378,2.524157581764123,Very High
SAN JOSE,DOTA,18,29,26,20,93,0.25393878163995304,0.09601090188305253,Very Low
SAN JOSE,ESCAZU,205,146,246,191,788,2.151653332605193,0.8135117277832837,High
SAN JOSE,GOICOECHEA,486,350,403,463,1702,4.647352756464517,1.7571027419887677,High
SAN JOSE,LEON CORTES,34,17,14,9,74,0.20205881549845728,0.07639577139081599,Very Low
SAN JOSE,MONTES DE OCA,477,266,387,795,1925,5.256259727493651,1.9873224314502806,Very High
SAN JOSE,MORA,96,80,90,47,313,0.854654179067799,0.3231334654773703,Low
SAN JOSE,MORAVIA,200,120,180,253,753,2.056084973923491,0.777378592666006,Modarate
SAN JOSE,PEREZ ZELEDON,761,481,581,564,2387,6.517762062092128,2.4642798149983483,Very High
SAN JOSE,PURISCAL,134,117,139,75,465,1.2696939081997654,0.4800545094152626,Low
SAN JOSE,SAN JOSE,5218,3574,5392,5692,19876,54.271905633072116,20.519491245457548,Very High
SAN JOSE,SANTA ANA,299,130,176,228,833,2.2745269366245253,0.8599686157912125,High
SAN JOSE,TARRAZU,52,49,38,20,159,0.43415340086830684,0.16414767096134786,Very Low
SAN JOSE,TIBAS,294,174,277,439,1184,3.2329410479753165,1.2223323422530559,High
SAN JOSE,TURRUBARES,24,14,15,19,72,0.1965977664309314,0.07433102081268583,Very Low
SAN JOSE,VASQUEZ DE CORONADO,162,107,149,156,574,1.567321082379925,0.5925834159233564,Modarate
